order_id,sku,quantity,customer_country,order_date
ORD001,SKU001,2,Australia,2024-01-15
ORD002,SKU013,1,United States,2024-01-15
ORD003,SKU025,3,Canada,2024-01-16
ORD004,SKU002,1,Australia,2024-01-16
ORD005,SKU007,1,United Kingdom,2024-01-17
ORD006,SKU015,2,Australia,2024-01-17
ORD007,SKU020,1,United States,2024-01-18
ORD008,SKU008,2,Canada,2024-01-18
ORD009,SKU012,1,Australia,2024-01-19
ORD010,SKU005,3,United Kingdom,2024-01-19
ORD011,SKU030,4,Australia,2024-01-20
ORD012,SKU017,2,United States,2024-01-20
ORD013,SKU022,1,Canada,2024-01-21
ORD014,SKU009,2,Australia,2024-01-21
ORD015,SKU026,1,United Kingdom,2024-01-22
ORD016,SKU003,1,Australia,2024-01-22
ORD017,SKU018,2,United States,2024-01-23
ORD018,SKU011,1,Canada,2024-01-23
ORD019,SKU024,3,Australia,2024-01-24
ORD020,SKU014,1,United Kingdom,2024-01-24
