supplier_sku,name,category,cost_price,stock,weight_kg,length_cm,width_cm,height_cm,image_url,description,brand,shipping_cost,supplier_lead_days
SKU001,Wireless Bluetooth Earbuds Pro,Electronics,25.5,45,0.15,8.5,6.2,3.1,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800,Premium wireless earbuds with noise cancellation and 24-hour battery life,TechSound,3.5,5
SKU002,Stainless Steel Water Bottle 750ml,Home & Kitchen,12.8,120,0.35,26.5,7.8,7.8,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800,Insulated stainless steel water bottle keeps drinks cold for 24 hours,HydroMax,4.2,3
SKU003,LED Desk Lamp with USB Charging,Home & Kitchen,18.9,67,0.85,45,15,12,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,Adjustable LED desk lamp with wireless charging pad and USB ports,BrightDesk,6.75,7
SKU004,Yoga Mat Premium Non-Slip,Sports & Outdoors,22.4,89,1.2,183,61,0.6,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800,Extra thick premium yoga mat with alignment lines and carrying strap,ZenFit,8.9,4
SKU005,Phone Camera Lens Kit 3-in-1,Electronics,15.6,34,0.25,12,8.5,4.2,https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=800,Professional phone camera lens kit with wide angle macro and fisheye lenses,PhotoPro,2.8,6
SKU006,Ceramic Coffee Mug Set 4-Pack,Home & Kitchen,28.75,78,1.8,32,25,18,https://images.unsplash.com/photo-1514228742587-6b1558fcf93a?w=800,Handcrafted ceramic coffee mugs with unique glazed finish set of 4,CafeCraft,9.5,5
SKU007,Portable Phone Stand Adjustable,Electronics,8.9,156,0.12,12,8,2,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=800,Foldable aluminum phone stand compatible with all devices,StandPro,2.3,2
SKU008,Bamboo Cutting Board Set,Home & Kitchen,19.8,92,1.1,35,25,2.5,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Eco-friendly bamboo cutting board set with juice groove,EcoKitchen,5.4,4
SKU009,Fitness Resistance Bands Set,Sports & Outdoors,16.2,73,0.8,30,20,8,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800,Complete resistance training set with 5 different resistance levels,FitPro,4.8,3
SKU010,Wireless Charging Pad Fast,Electronics,21.3,58,0.3,10,10,1.2,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=800,15W fast wireless charging pad compatible with all Qi devices,ChargeTech,3.2,5
SKU011,Essential Oils Diffuser Set,Home & Kitchen,32.4,41,1.5,15,15,18,https://images.unsplash.com/photo-1544816565-c8dd2892b442?w=800,Ultrasonic aromatherapy diffuser with 6 essential oils included,AromaLife,7.8,6
