supplier_sku,name,category,cost_price,stock,weight_kg,length_cm,width_cm,height_cm,image_url,description,brand,shipping_cost,supplier_lead_days,shopify_product_type,handle,seo_title,meta_description,tags,vendor,requires_shipping,taxable,inventory_policy
SKU001,Wireless Bluetooth Earbuds Pro,Electronics,25.50,45,0.15,8.5,6.2,3.1,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800,Premium wireless earbuds with noise cancellation and 24-hour battery life,TechSound,3.50,5,Audio,wireless-bluetooth-earbuds-pro,Premium Wireless Bluetooth Earbuds Pro - 24H Battery,High-quality wireless earbuds with active noise cancellation and long battery life,wireless earbuds bluetooth audio tech,TechSound,true,true,deny
SKU002,Stainless Steel Water Bottle 750ml,Home & Kitchen,12.80,120,0.35,26.5,7.8,7.8,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800,Insulated stainless steel water bottle keeps drinks cold for 24 hours,HydroMax,4.20,3,Drinkware,stainless-steel-water-bottle-750ml,Insulated Stainless Steel Water Bottle 750ml - 24H Cold,Premium insulated water bottle that keeps your drinks cold for 24 hours,water bottle stainless steel insulated hydration,HydroMax,true,true,deny
SKU003,LED Desk Lamp with USB Charging,Home & Kitchen,18.90,67,0.85,45.0,15.0,12.0,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,Adjustable LED desk lamp with wireless charging pad and USB ports,BrightDesk,6.75,7,Lighting,led-desk-lamp-usb-charging,LED Desk Lamp with Wireless Charging & USB Ports,Modern adjustable LED desk lamp with built-in wireless charging and USB ports,desk lamp led lighting usb charging wireless,BrightDesk,true,true,deny
SKU004,Yoga Mat Premium Non-Slip,Sports & Outdoors,22.40,89,1.20,183.0,61.0,0.6,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800,Extra thick premium yoga mat with alignment lines and carrying strap,ZenFit,8.90,4,Exercise Equipment,yoga-mat-premium-non-slip,Premium Non-Slip Yoga Mat - Extra Thick with Alignment,Professional yoga mat with alignment lines and carrying strap for all levels,yoga mat exercise fitness non-slip premium,ZenFit,true,true,deny
SKU005,Phone Camera Lens Kit 3-in-1,Electronics,15.60,34,0.25,12.0,8.5,4.2,https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=800,Professional phone camera lens kit with wide angle macro and fisheye lenses,PhotoPro,2.80,6,Phone Accessories,phone-camera-lens-kit-3-in-1,3-in-1 Phone Camera Lens Kit - Wide Angle Macro Fisheye,Professional phone photography lens kit with wide angle macro and fisheye lenses,phone camera lens photography mobile accessories,PhotoPro,true,true,deny
SKU006,Ceramic Coffee Mug Set 4-Pack,Home & Kitchen,28.75,78,1.80,32.0,25.0,18.0,https://images.unsplash.com/photo-1514228742587-6b1558fcf93a?w=800,Handcrafted ceramic coffee mugs with unique glazed finish set of 4,CafeCraft,9.50,5,Drinkware,ceramic-coffee-mug-set-4-pack,Handcrafted Ceramic Coffee Mug Set - 4 Pack Glazed,Beautiful handcrafted ceramic coffee mugs with unique glazed finish,coffee mugs ceramic handcrafted kitchen drinkware,CafeCraft,true,true,deny
SKU007,Bluetooth Portable Speaker,Electronics,32.20,56,0.65,18.5,8.0,8.0,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800,Waterproof Bluetooth speaker with 360-degree sound and 12-hour battery,SoundWave,4.90,8,Audio,bluetooth-portable-speaker,Waterproof Bluetooth Speaker - 360° Sound 12H Battery,Premium waterproof Bluetooth speaker with 360-degree sound and long battery life,bluetooth speaker waterproof portable audio music,SoundWave,true,true,deny
SKU008,Resistance Bands Set 5-Pack,Sports & Outdoors,16.30,95,0.45,30.0,20.0,5.0,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800,Professional resistance bands set with door anchor and exercise guide,FitForce,3.75,3,Exercise Equipment,resistance-bands-set-5-pack,Professional Resistance Bands Set - 5 Pack with Door Anchor,Complete resistance bands workout set with door anchor and exercise guide,resistance bands fitness exercise workout strength,FitForce,true,true,deny
SKU009,Essential Oil Diffuser Ultrasonic,Home & Kitchen,24.80,42,0.75,16.8,16.8,14.2,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=800,Ultrasonic essential oil diffuser with 7 LED colors and timer function,AromaZen,5.60,6,Home Fragrance,essential-oil-diffuser-ultrasonic,Ultrasonic Essential Oil Diffuser - 7 LED Colors Timer,Premium ultrasonic diffuser with 7 LED color options and timer function,essential oil diffuser aromatherapy ultrasonic home,AromaZen,true,true,deny
SKU010,Wireless Phone Charger Pad,Electronics,19.90,73,0.28,10.5,10.5,1.2,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=800,Fast wireless charging pad compatible with all Qi-enabled devices,ChargeTech,3.20,4,Phone Accessories,wireless-phone-charger-pad,Fast Wireless Charging Pad - Qi Compatible Universal,Universal fast wireless charging pad compatible with all Qi-enabled devices,wireless charger phone charging pad qi fast,ChargeTech,true,true,deny
SKU011,Bamboo Cutting Board Set,Home & Kitchen,21.50,61,1.50,35.0,25.0,2.0,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Sustainable bamboo cutting board set with juice groove and handles,EcoKitchen,7.80,5,Kitchen Tools,bamboo-cutting-board-set,Sustainable Bamboo Cutting Board Set - Juice Groove,Eco-friendly bamboo cutting board set with juice groove and ergonomic handles,bamboo cutting board kitchen sustainable eco-friendly,EcoKitchen,true,true,deny
SKU012,Blue Light Blocking Glasses,Health & Beauty,14.70,88,0.08,14.5,5.2,4.8,https://images.unsplash.com/photo-1574258495973-f010dfbb5371?w=800,Stylish blue light blocking glasses to reduce eye strain from screens,VisionGuard,2.10,7,Eyewear,blue-light-blocking-glasses,Blue Light Blocking Glasses - Reduce Eye Strain,Stylish blue light blocking glasses designed to reduce digital eye strain,blue light glasses eyewear computer screen protection,VisionGuard,true,true,deny
